concept,type,df_count,df_fraction,status
long time,SURFACE,2,0.05,KEPT
longer-term,SURFACE,2,0.05,KEPT
longitudinal monitoring,SURFACE,2,0.05,KEPT
loss,SURFACE,2,0.05,KEPT
loss of,SURFACE,2,0.05,KEPT
lower extremity edema,SURFACE,2,0.05,KEPT
lung biopsy**,SURFACE,2,0.05,KEPT
lung cancer,SURFACE,2,0.05,KEPT
lung diseases,SURFACE,2,0.05,KEPT
luteinizing hormone,SURFACE,2,0.05,KEPT
lymphocyte subset analysis,SURFACE,2,0.05,KEPT
lymphoproliferative disorders,SURFACE,2,0.05,KEPT
males,SURFACE,2,0.05,KEPT
malignant processes,SURFACE,2,0.05,KEPT
management pathway,SURFACE,2,0.05,KEPT
management strategy,SURFACE,2,0.05,KEPT
masquerade,SURFACE,2,0.05,KEPT
mass,SURFACE,2,0.05,KEPT
mass lesion,SURFACE,2,0.05,KEPT
match,SURFACE,2,0.05,KEPT
medical team,SURFACE,2,0.05,KEPT
meetings,SURFACE,2,0.05,KEPT
melanoma,SURFACE,2,0.05,KEPT
menstrual,SURFACE,2,0.05,KEPT
metabolic abnormalities,SURFACE,2,0.05,KEPT
metabolic derangements,SURFACE,2,0.05,KEPT
metabolic issues,SURFACE,2,0.05,KEPT
metabolic status,SURFACE,2,0.05,KEPT
metabolic syndrome,SURFACE,2,0.05,KEPT
metabolic testing,SURFACE,2,0.05,KEPT
metabolic tests,SURFACE,2,0.05,KEPT
metabolism,SURFACE,2,0.05,KEPT
metastasis,SURFACE,2,0.05,KEPT
methylprednisolone,SURFACE,2,0.05,KEPT
meticulous,SURFACE,2,0.05,KEPT
microcephaly,SURFACE,2,0.05,KEPT
milestones,SURFACE,2,0.05,KEPT
minutes,SURFACE,2,0.05,KEPT
misdiagnosis,SURFACE,2,0.05,KEPT
miss,SURFACE,2,0.05,KEPT
missed,SURFACE,2,0.05,KEPT
modification,SURFACE,2,0.05,KEPT
modified,SURFACE,2,0.05,KEPT
momentum,SURFACE,2,0.05,KEPT
morphological,SURFACE,2,0.05,KEPT
mosaicism,SURFACE,2,0.05,KEPT
mother's,SURFACE,2,0.05,KEPT
motor symptoms,SURFACE,2,0.05,KEPT
mouth,SURFACE,2,0.05,KEPT
movements,SURFACE,2,0.05,KEPT
msa,SURFACE,2,0.05,KEPT
multi-disciplinary approach,SURFACE,2,0.05,KEPT
multi-faceted approach,SURFACE,2,0.05,KEPT
multidimensional approach,SURFACE,2,0.05,KEPT
multidisciplinary collaboration,SURFACE,2,0.05,KEPT
multifaceted aspects,SURFACE,2,0.05,KEPT
multiple system atrophy,SURFACE,2,0.05,KEPT
multiple systems,SURFACE,2,0.05,KEPT
myocardial infarction,SURFACE,2,0.05,KEPT
navigated,SURFACE,2,0.05,KEPT
navigating,SURFACE,2,0.05,KEPT
nephrologists,SURFACE,2,0.05,KEPT
neurodegenerative disorders,SURFACE,2,0.05,KEPT
neurological concerns,SURFACE,2,0.05,KEPT
neurological issues,SURFACE,2,0.05,KEPT
neuropsychological assessment,SURFACE,2,0.05,KEPT
neutrophil,SURFACE,2,0.05,KEPT
next steps**,SURFACE,2,0.05,KEPT
next week,SURFACE,2,0.05,KEPT
night,SURFACE,2,0.05,KEPT
night sweats,SURFACE,2,0.05,KEPT
no abnormalities,SURFACE,2,0.05,KEPT
no improvement,SURFACE,2,0.05,KEPT
non-consanguineous,SURFACE,2,0.05,KEPT
nose,SURFACE,2,0.05,KEPT
notes,SURFACE,2,0.05,KEPT
noting,SURFACE,2,0.05,KEPT
nsclc,SURFACE,2,0.05,KEPT
nuchal translucency,SURFACE,2,0.05,KEPT
nystagmus,SURFACE,2,0.05,KEPT
obstructions,SURFACE,2,0.05,KEPT
obtaining,SURFACE,2,0.05,KEPT
oct,SURFACE,2,0.05,KEPT
ocular condition,SURFACE,2,0.05,KEPT
ocular health,SURFACE,2,0.05,KEPT
ocular issues,SURFACE,2,0.05,KEPT
ocular symptoms,SURFACE,2,0.05,KEPT
older adults,SURFACE,2,0.05,KEPT
oligoarticular,SURFACE,2,0.05,KEPT
oligohydramnios,SURFACE,2,0.05,KEPT
onset,SURFACE,2,0.05,KEPT
onset of,SURFACE,2,0.05,KEPT
open communication,SURFACE,2,0.05,KEPT
open-minded,SURFACE,2,0.05,KEPT
ophthalmology,SURFACE,2,0.05,KEPT
optical coherence tomography,SURFACE,2,0.05,KEPT
oral,SURFACE,2,0.05,KEPT
organisms,SURFACE,2,0.05,KEPT
orthopedic,SURFACE,2,0.05,KEPT
osteogenesis imperfecta,SURFACE,2,0.05,KEPT
outline,SURFACE,2,0.05,KEPT
outlined tests,SURFACE,2,0.05,KEPT
outlines,SURFACE,2,0.05,KEPT
ovaries,SURFACE,2,0.05,KEPT
overgrowth,SURFACE,2,0.05,KEPT
overlapping,SURFACE,2,0.05,KEPT
overlapping features,SURFACE,2,0.05,KEPT
overlapping symptoms,SURFACE,2,0.05,KEPT
overlapping syndromes,SURFACE,2,0.05,KEPT
oxygen saturation,SURFACE,2,0.05,KEPT
pack-years,SURFACE,2,0.05,KEPT
page,SURFACE,2,0.05,KEPT
pancreatic disease,SURFACE,2,0.05,KEPT
pao2,SURFACE,2,0.05,KEPT
parenchymal lesions,SURFACE,2,0.05,KEPT
parental,SURFACE,2,0.05,KEPT
parkinsonism,SURFACE,2,0.05,KEPT
partial,SURFACE,2,0.05,KEPT
partnership,SURFACE,2,0.05,KEPT
pathogenic,SURFACE,2,0.05,KEPT
pathogenic variants,SURFACE,2,0.05,KEPT
pathologies,SURFACE,2,0.05,KEPT
paths,SURFACE,2,0.05,KEPT
pathways,SURFACE,2,0.05,KEPT
patient history,SURFACE,2,0.05,KEPT
patient matures,SURFACE,2,0.05,KEPT
patient safety,SURFACE,2,0.05,KEPT
patient's complex,SURFACE,2,0.05,KEPT
patient-centered approach,SURFACE,2,0.05,KEPT
patient’s age,SURFACE,2,0.05,KEPT
patient’s care,SURFACE,2,0.05,KEPT
patient’s history,SURFACE,2,0.05,KEPT
patient’s lifestyle,SURFACE,2,0.05,KEPT
patient’s presentation,SURFACE,2,0.05,KEPT
pcr,SURFACE,2,0.05,KEPT
pcr testing,SURFACE,2,0.05,KEPT
pelvis,SURFACE,2,0.05,KEPT
performing,SURFACE,2,0.05,KEPT
perfusion,SURFACE,2,0.05,KEPT
perinatal,SURFACE,2,0.05,KEPT
period,SURFACE,2,0.05,KEPT
peripheral,SURFACE,2,0.05,KEPT
peripheral blood,SURFACE,2,0.05,KEPT
phase,SURFACE,2,0.05,KEPT
phenotypes,SURFACE,2,0.05,KEPT
physical,SURFACE,2,0.05,KEPT
physical presentation,SURFACE,2,0.05,KEPT
physiological,SURFACE,2,0.05,KEPT
physiological aspects,SURFACE,2,0.05,KEPT
placement,SURFACE,2,0.05,KEPT
plasma,SURFACE,2,0.05,KEPT
please feel free,SURFACE,2,0.05,KEPT
please let me know,SURFACE,2,0.05,KEPT
polydactyly,SURFACE,2,0.05,KEPT
post-operative,SURFACE,2,0.05,KEPT
postnatally,SURFACE,2,0.05,KEPT
postoperative,SURFACE,2,0.05,KEPT
prader-willi,SURFACE,2,0.05,KEPT
precedence,SURFACE,2,0.05,KEPT
precision,SURFACE,2,0.05,KEPT
predisposition,SURFACE,2,0.05,KEPT
prednisolone,SURFACE,2,0.05,KEPT
preferred,SURFACE,2,0.05,KEPT
prenatal history,SURFACE,2,0.05,KEPT
prescribed,SURFACE,2,0.05,KEPT
primary focus,SURFACE,2,0.05,KEPT
prioritizing tests,SURFACE,2,0.05,KEPT
proactive management,SURFACE,2,0.05,KEPT
probability,SURFACE,2,0.05,KEPT
procedure,SURFACE,2,0.05,KEPT
proceed,SURFACE,2,0.05,KEPT
provides,SURFACE,2,0.05,KEPT
proximal,SURFACE,2,0.05,KEPT
psychiatric evaluation,SURFACE,2,0.05,KEPT
psychologists,SURFACE,2,0.05,KEPT
pulmonary,SURFACE,2,0.05,KEPT
pulmonary angiogram,SURFACE,2,0.05,KEPT
pulmonary embolism,SURFACE,2,0.05,KEPT
pulmonary function tests,SURFACE,2,0.05,KEPT
pulmonary hypertension,SURFACE,2,0.05,KEPT
pulmonary tuberculosis,SURFACE,2,0.05,KEPT
pursuing,SURFACE,2,0.05,KEPT
quality,SURFACE,2,0.05,KEPT
quotidian,SURFACE,2,0.05,KEPT
radar,SURFACE,2,0.05,KEPT
raised,SURFACE,2,0.05,KEPT
rash,SURFACE,2,0.05,KEPT
re-evaluate,SURFACE,2,0.05,KEPT
re-evaluation,SURFACE,2,0.05,KEPT
reactive arthritis,SURFACE,2,0.05,KEPT
real-time,SURFACE,2,0.05,KEPT
reasons,SURFACE,2,0.05,KEPT
reassessment,SURFACE,2,0.05,KEPT
recognition,SURFACE,2,0.05,KEPT
recognize,SURFACE,2,0.05,KEPT
recovery,SURFACE,2,0.05,KEPT
recurrences,SURFACE,2,0.05,KEPT
recurrent fevers,SURFACE,2,0.05,KEPT
recurrent infections,SURFACE,2,0.05,KEPT
redundant,SURFACE,2,0.05,KEPT
regurgitation,SURFACE,2,0.05,KEPT
reiterate,SURFACE,2,0.05,KEPT
remarks,SURFACE,2,0.05,KEPT
renal abnormalities,SURFACE,2,0.05,KEPT
renal anatomy,SURFACE,2,0.05,KEPT
renal anomalies,SURFACE,2,0.05,KEPT
renal disease,SURFACE,2,0.05,KEPT
renal dysplasia,SURFACE,2,0.05,KEPT
renal function tests,SURFACE,2,0.05,KEPT
renal structures,SURFACE,2,0.05,KEPT
repeated,SURFACE,2,0.05,KEPT
reproductive structures,SURFACE,2,0.05,KEPT
requirements,SURFACE,2,0.05,KEPT
residual,SURFACE,2,0.05,KEPT
resistant,SURFACE,2,0.05,KEPT
resolved,SURFACE,2,0.05,KEPT
resolving,SURFACE,2,0.05,KEPT
"respectively.\"",\n\n",SURFACE,2,0.05,KEPT
respiratory,SURFACE,2,0.05,KEPT
respiratory complications,SURFACE,2,0.05,KEPT
respiratory distress,SURFACE,2,0.05,KEPT
responsibilities,SURFACE,2,0.05,KEPT
responsibility,SURFACE,2,0.05,KEPT
responsiveness,SURFACE,2,0.05,KEPT
restrictive,SURFACE,2,0.05,KEPT
resultant,SURFACE,2,0.05,KEPT
retention,SURFACE,2,0.05,KEPT
retina,SURFACE,2,0.05,KEPT
retinal layers,SURFACE,2,0.05,KEPT
revisions,SURFACE,2,0.05,KEPT
rheumatoid arthritis,SURFACE,2,0.05,KEPT
rheumatoid factor,SURFACE,2,0.05,KEPT
right eye,SURFACE,2,0.05,KEPT
right heart,SURFACE,2,0.05,KEPT
right kidney,SURFACE,2,0.05,KEPT
right lower limb,SURFACE,2,0.05,KEPT
routine,SURFACE,2,0.05,KEPT
routine blood tests,SURFACE,2,0.05,KEPT
ruled out,SURFACE,2,0.05,KEPT
saccades,SURFACE,2,0.05,KEPT
sample,SURFACE,2,0.05,KEPT
samples,SURFACE,2,0.05,KEPT
schedule,SURFACE,2,0.05,KEPT
scheduled,SURFACE,2,0.05,KEPT
screening tests,SURFACE,2,0.05,KEPT
scrutiny,SURFACE,2,0.05,KEPT
sds,SURFACE,2,0.05,KEPT
secondary assessment,SURFACE,2,0.05,KEPT
secondary causes,SURFACE,2,0.05,KEPT
sedimentation,SURFACE,2,0.05,KEPT
sensorineural hearing loss,SURFACE,2,0.05,KEPT
sentiment,SURFACE,2,0.05,KEPT
sentiments,SURFACE,2,0.05,KEPT
sepsis,SURFACE,2,0.05,KEPT
serological markers,SURFACE,2,0.05,KEPT
serological testing,SURFACE,2,0.05,KEPT
serology,SURFACE,2,0.05,KEPT
serum creatinine,SURFACE,2,0.05,KEPT
serum testing,SURFACE,2,0.05,KEPT
shift,SURFACE,2,0.05,KEPT
shifts,SURFACE,2,0.05,KEPT
short philtrum,SURFACE,2,0.05,KEPT
shortening,SURFACE,2,0.05,KEPT
shortness,SURFACE,2,0.05,KEPT
showcases,SURFACE,2,0.05,KEPT
signs,SURFACE,2,0.05,KEPT
signs of infection,SURFACE,2,0.05,KEPT
similar,SURFACE,2,0.05,KEPT
similarities,SURFACE,2,0.05,KEPT
simultaneous,SURFACE,2,0.05,KEPT
skeletal changes,SURFACE,2,0.05,KEPT
skeletal manifestations,SURFACE,2,0.05,KEPT
skeletal structure,SURFACE,2,0.05,KEPT
skeleton,SURFACE,2,0.05,KEPT
sle,SURFACE,2,0.05,KEPT
small,SURFACE,2,0.05,KEPT
small ears,SURFACE,2,0.05,KEPT
small joints,SURFACE,2,0.05,KEPT
smith-magenis syndrome,SURFACE,2,0.05,KEPT
smoker,SURFACE,2,0.05,KEPT
soft tissue,SURFACE,2,0.05,KEPT
speaking,SURFACE,2,0.05,KEPT
specialists weigh,SURFACE,2,0.05,KEPT
specialists wish,SURFACE,2,0.05,KEPT
specialists**,SURFACE,2,0.05,KEPT
specification,SURFACE,2,0.05,KEPT
specifications,SURFACE,2,0.05,KEPT
specificity,SURFACE,2,0.05,KEPT
spikes,SURFACE,2,0.05,KEPT
spinal anomalies,SURFACE,2,0.05,KEPT
spine**,SURFACE,2,0.05,KEPT
splenomegaly,SURFACE,2,0.05,KEPT
sputum culture,SURFACE,2,0.05,KEPT
standard practice,SURFACE,2,0.05,KEPT
started,SURFACE,2,0.05,KEPT
state,SURFACE,2,0.05,KEPT
statement,SURFACE,2,0.05,KEPT
stature,SURFACE,2,0.05,KEPT
stenosis,SURFACE,2,0.05,KEPT
"steps
i",SURFACE,2,0.05,KEPT
still's disease**,SURFACE,2,0.05,KEPT
still’s disease,SURFACE,2,0.05,KEPT
strabismus,SURFACE,2,0.05,KEPT
strategic plan,SURFACE,2,0.05,KEPT
streamline,SURFACE,2,0.05,KEPT
strength,SURFACE,2,0.05,KEPT
strengthens,SURFACE,2,0.05,KEPT
structural anomaly,SURFACE,2,0.05,KEPT
structural chromosomal abnormalities,SURFACE,2,0.05,KEPT
structural findings,SURFACE,2,0.05,KEPT
structures,SURFACE,2,0.05,KEPT
study,SURFACE,2,0.05,KEPT
subtypes,SURFACE,2,0.05,KEPT
summation,SURFACE,2,0.05,KEPT
surgical management,SURFACE,2,0.05,KEPT
symptom pattern,SURFACE,2,0.05,KEPT
symptomology,SURFACE,2,0.05,KEPT
syndromic causes,SURFACE,2,0.05,KEPT
syndromic considerations,SURFACE,2,0.05,KEPT
system,SURFACE,2,0.05,KEPT
systemic contributors,SURFACE,2,0.05,KEPT
systemic disease,SURFACE,2,0.05,KEPT
systemic evaluation,SURFACE,2,0.05,KEPT
systemic evaluations,SURFACE,2,0.05,KEPT
systemic factors,SURFACE,2,0.05,KEPT
systemic health,SURFACE,2,0.05,KEPT
systemic vasculitis,SURFACE,2,0.05,KEPT
systemic workup,SURFACE,2,0.05,KEPT
systolic,SURFACE,2,0.05,KEPT
t-cell,SURFACE,2,0.05,KEPT
tachycardia,SURFACE,2,0.05,KEPT
tailoring,SURFACE,2,0.05,KEPT
tall stature,SURFACE,2,0.05,KEPT
tapering fingers,SURFACE,2,0.05,KEPT
target,SURFACE,2,0.05,KEPT
targeted approach,SURFACE,2,0.05,KEPT
targeting,SURFACE,2,0.05,KEPT
targets,SURFACE,2,0.05,KEPT
teamwork,SURFACE,2,0.05,KEPT
test priorities,SURFACE,2,0.05,KEPT
test suggestions,SURFACE,2,0.05,KEPT
testing approach,SURFACE,2,0.05,KEPT
testing options,SURFACE,2,0.05,KEPT
testing priority,SURFACE,2,0.05,KEPT
testing results,SURFACE,2,0.05,KEPT
testing**,SURFACE,2,0.05,KEPT
testosterone,SURFACE,2,0.05,KEPT
thank you!,SURFACE,2,0.05,KEPT
therapeutic,SURFACE,2,0.05,KEPT
therapeutic interventions,SURFACE,2,0.05,KEPT
though,SURFACE,2,0.05,KEPT
thoughtful analyses,SURFACE,2,0.05,KEPT
thoughtful conclusion,SURFACE,2,0.05,KEPT
thoughtful discussions,SURFACE,2,0.05,KEPT
thoughtful reflections,SURFACE,2,0.05,KEPT
thrive,SURFACE,2,0.05,KEPT
thromboembolic,SURFACE,2,0.05,KEPT
thromboembolic disease,SURFACE,2,0.05,KEPT
thrombus,SURFACE,2,0.05,KEPT
thyroid,SURFACE,2,0.05,KEPT
thyroid function tests**,SURFACE,2,0.05,KEPT
tibia,SURFACE,2,0.05,KEPT
tissues,SURFACE,2,0.05,KEPT
top priority,SURFACE,2,0.05,KEPT
topics,SURFACE,2,0.05,KEPT
total bilirubin,SURFACE,2,0.05,KEPT
total cholesterol,SURFACE,2,0.05,KEPT
transferred,SURFACE,2,0.05,KEPT
transient,SURFACE,2,0.05,KEPT
transition,SURFACE,2,0.05,KEPT
travel history,SURFACE,2,0.05,KEPT
treatment options,SURFACE,2,0.05,KEPT
treatment strategy,SURFACE,2,0.05,KEPT
triangular face,SURFACE,2,0.05,KEPT
triglycerides,SURFACE,2,0.05,KEPT
trisomy 21)**,SURFACE,2,0.05,KEPT
tst,SURFACE,2,0.05,KEPT
tuberculin skin test,SURFACE,2,0.05,KEPT
tuberculosis,SURFACE,2,0.05,KEPT
tumor,SURFACE,2,0.05,KEPT
uncertain,SURFACE,2,0.05,KEPT
uncertainty,SURFACE,2,0.05,KEPT
unilateral,SURFACE,2,0.05,KEPT
unsteadiness,SURFACE,2,0.05,KEPT
update,SURFACE,2,0.05,KEPT
upper limb,SURFACE,2,0.05,KEPT
urinary,SURFACE,2,0.05,KEPT
uterus,SURFACE,2,0.05,KEPT
validation,SURFACE,2,0.05,KEPT
valvular abnormalities,SURFACE,2,0.05,KEPT
variable expressivity,SURFACE,2,0.05,KEPT
vascular abnormalities,SURFACE,2,0.05,KEPT
vascular complications,SURFACE,2,0.05,KEPT
vascular malformation,SURFACE,2,0.05,KEPT
vascular surgeon,SURFACE,2,0.05,KEPT
venous doppler ultrasound,SURFACE,2,0.05,KEPT
venous obstruction,SURFACE,2,0.05,KEPT
vessels,SURFACE,2,0.05,KEPT
views,SURFACE,2,0.05,KEPT
viral causes,SURFACE,2,0.05,KEPT
viral panel,SURFACE,2,0.05,KEPT
viral panels,SURFACE,2,0.05,KEPT
viral pathogens,SURFACE,2,0.05,KEPT
visceral,SURFACE,2,0.05,KEPT
vision loss,SURFACE,2,0.05,KEPT
visual,SURFACE,2,0.05,KEPT
visual impairment,SURFACE,2,0.05,KEPT
vital information,SURFACE,2,0.05,KEPT
voice,SURFACE,2,0.05,KEPT
volume,SURFACE,2,0.05,KEPT
weakness,SURFACE,2,0.05,KEPT
weight gain,SURFACE,2,0.05,KEPT
well-being,SURFACE,2,0.05,KEPT
well-considered,SURFACE,2,0.05,KEPT
well-equipped,SURFACE,2,0.05,KEPT
well-reasoned,SURFACE,2,0.05,KEPT
wes,SURFACE,2,0.05,KEPT
whole exome sequencing,SURFACE,2,0.05,KEPT
whole-exome sequencing,SURFACE,2,0.05,KEPT
willingness,SURFACE,2,0.05,KEPT
wish,SURFACE,2,0.05,KEPT
workflow,SURFACE,2,0.05,KEPT
worsened,SURFACE,2,0.05,KEPT
wrist,SURFACE,2,0.05,KEPT
year,SURFACE,2,0.05,KEPT
"years.\"",\n\n",SURFACE,2,0.05,KEPT
younger sister,SURFACE,2,0.05,KEPT
’s history,SURFACE,2,0.05,KEPT
! i,SURFACE,1,0.025,KEPT
** evaluating,SURFACE,1,0.025,KEPT
** particularly,SURFACE,1,0.025,KEPT
** primarily,SURFACE,1,0.025,KEPT
** suggested,SURFACE,1,0.025,KEPT
**3d ultrasound imaging**,SURFACE,1,0.025,KEPT
**3d ultrasound imaging** -,SURFACE,1,0.025,KEPT
**3d ultrasound imaging:**,SURFACE,1,0.025,KEPT
**achondrogenesis,SURFACE,1,0.025,KEPT
**achondrogenesis**,SURFACE,1,0.025,KEPT
**achondrogenesis**.,SURFACE,1,0.025,KEPT
**acoustic neuroma** -,SURFACE,1,0.025,KEPT
"**acquired angioedema**
     - **venous insufficiency**
     - **lymphatic obstruction**
     - **systemic conditions",SURFACE,1,0.025,KEPT
"**acquired angioedema**
   - **venous insufficiency**
   - **lymphatic obstruction**
   - **systemic conditions",SURFACE,1,0.025,KEPT
**action plan,SURFACE,1,0.025,KEPT
**ad-hies**,SURFACE,1,0.025,KEPT
**additional,SURFACE,1,0.025,KEPT
**adenoviruses** and **enteroviruses**,SURFACE,1,0.025,KEPT
**adenoviruses** and **parvovirus b19** enhances,SURFACE,1,0.025,KEPT
**alagille syndrome**,SURFACE,1,0.025,KEPT
**allergic bronchopulmonary aspergillosis,SURFACE,1,0.025,KEPT
**alström syndrome**,SURFACE,1,0.025,KEPT
**ampa receptors** and **gaba(b) receptors**,SURFACE,1,0.025,KEPT
**ampa** and **gaba(b)** receptor antibodies,SURFACE,1,0.025,KEPT
**analysis,SURFACE,1,0.025,KEPT
**anca antibodies** makes,SURFACE,1,0.025,KEPT
**anca antibody testing**,SURFACE,1,0.025,KEPT
**androgen insensitivity syndrome,SURFACE,1,0.025,KEPT
**angelman syndrome**,SURFACE,1,0.025,KEPT
**anti-citrullinated protein antibodies,SURFACE,1,0.025,KEPT
**anti-nmda receptor encephalitis**,SURFACE,1,0.025,KEPT
**antinuclear antibodies,SURFACE,1,0.025,KEPT
**any signs of,SURFACE,1,0.025,KEPT
**apert syndrome**,SURFACE,1,0.025,KEPT
**apert syndrome** or **crouzon syndrome**),SURFACE,1,0.025,KEPT
**area for actions**,SURFACE,1,0.025,KEPT
**areas,SURFACE,1,0.025,KEPT
**atrial septal defect,SURFACE,1,0.025,KEPT
**autoantibody,SURFACE,1,0.025,KEPT
**autoantibody panel:**,SURFACE,1,0.025,KEPT
**autoimmune encephalitis**,SURFACE,1,0.025,KEPT
**autoimmune panel**,SURFACE,1,0.025,KEPT
**autosomal,SURFACE,1,0.025,KEPT
**autosomal dominant hyper-ige syndrome,SURFACE,1,0.025,KEPT
**bardet-biedl syndrome**,SURFACE,1,0.025,KEPT
**bardet-biedl syndrome** or **alström syndrome**,SURFACE,1,0.025,KEPT
"**bardet-biedl syndrome** or **congenital lipodystrophy**.

3. **developmental milestones**",SURFACE,1,0.025,KEPT
**behçet's disease** angle,SURFACE,1,0.025,KEPT
**benign course,SURFACE,1,0.025,KEPT
"**biopsies**. 
  - **priority",SURFACE,1,0.025,KEPT
**biopsy,SURFACE,1,0.025,KEPT
**biopsy**,SURFACE,1,0.025,KEPT
"**bone age assessment**

4. **action plan**",SURFACE,1,0.025,KEPT
**bone age assessment** serves,SURFACE,1,0.025,KEPT
**bone marrow biopsy** for,SURFACE,1,0.025,KEPT
**bronchoscopy,SURFACE,1,0.025,KEPT
**bronchoscopy with,SURFACE,1,0.025,KEPT
**c-reactive protein,SURFACE,1,0.025,KEPT
**candidate variants**,SURFACE,1,0.025,KEPT
**candidate variants** with,SURFACE,1,0.025,KEPT
**cardiac biomarkers**,SURFACE,1,0.025,KEPT
**careful,SURFACE,1,0.025,KEPT
**caspr2**,SURFACE,1,0.025,KEPT
**cellular models**,SURFACE,1,0.025,KEPT
**cerebellar degeneration:** given,SURFACE,1,0.025,KEPT
**cerebellar degeneration:** while,SURFACE,1,0.025,KEPT
**chest,SURFACE,1,0.025,KEPT
**chest high-resolution ct scan**,SURFACE,1,0.025,KEPT
**choroidal melanoma**.,SURFACE,1,0.025,KEPT
**choroidal nevus**,SURFACE,1,0.025,KEPT
**choroidal nevus**: i share,SURFACE,1,0.025,KEPT
**chronic granulomatous disease,SURFACE,1,0.025,KEPT
**chronic thromboembolic pulmonary hypertension,SURFACE,1,0.025,KEPT
**clinical observation,SURFACE,1,0.025,KEPT
**cocaine,SURFACE,1,0.025,KEPT
**cocaine intoxication**,SURFACE,1,0.025,KEPT
**coffin-siris syndrome** or **charge syndrome**,SURFACE,1,0.025,KEPT
**communicating findings**,SURFACE,1,0.025,KEPT
**communication,SURFACE,1,0.025,KEPT
**communication strategies**,SURFACE,1,0.025,KEPT
**communication tactics**,SURFACE,1,0.025,KEPT
**complement levels,SURFACE,1,0.025,KEPT
**complete blood count,SURFACE,1,0.025,KEPT
**comprehensive,SURFACE,1,0.025,KEPT
**comprehensive blood work**,SURFACE,1,0.025,KEPT
**comprehensive metabolic panel,SURFACE,1,0.025,KEPT
**comprehensive metabolic panel**,SURFACE,1,0.025,KEPT
**comprehensive renal imaging,SURFACE,1,0.025,KEPT
**comprehensive skeletal survey**,SURFACE,1,0.025,KEPT
**congenital adrenal hyperplasia**,SURFACE,1,0.025,KEPT
**congenital kidney disease**,SURFACE,1,0.025,KEPT
**congenital lipodystrophy**,SURFACE,1,0.025,KEPT
**congenital ureteral duplication,SURFACE,1,0.025,KEPT
**congenital ureteral duplication**,SURFACE,1,0.025,KEPT
**conjunctival nevus,SURFACE,1,0.025,KEPT
**conjunctival nevus/papilloma,SURFACE,1,0.025,KEPT
**consensus**,SURFACE,1,0.025,KEPT
**consider,SURFACE,1,0.025,KEPT
**considerations**,SURFACE,1,0.025,KEPT
**consultations,SURFACE,1,0.025,KEPT
**consultations**,SURFACE,1,0.025,KEPT
**continual feedback loop**,SURFACE,1,0.025,KEPT
**continuing the discussion**,SURFACE,1,0.025,KEPT
**cornelia,SURFACE,1,0.025,KEPT
**coronary artery complications**,SURFACE,1,0.025,KEPT
**craniofacial dysostosis syndrome**,SURFACE,1,0.025,KEPT
"**craniosynostosis syndrome**, specifically **apert syndrome**.",SURFACE,1,0.025,KEPT
**crouzon syndrome**,SURFACE,1,0.025,KEPT
**crouzon syndrome** and **oculodentodigital syndrome**,SURFACE,1,0.025,KEPT
**ct,SURFACE,1,0.025,KEPT
**ct angiography,SURFACE,1,0.025,KEPT
**ct imaging,SURFACE,1,0.025,KEPT
**ct imaging**: conduct a **ct scan**,SURFACE,1,0.025,KEPT
**ct scan**,SURFACE,1,0.025,KEPT
**cushing's syndrome**,SURFACE,1,0.025,KEPT
**cytokine profile,SURFACE,1,0.025,KEPT
**defining testing responsibilities**,SURFACE,1,0.025,KEPT
**delayed referrals**,SURFACE,1,0.025,KEPT
**detailed,SURFACE,1,0.025,KEPT
**detailed skeletal survey**,SURFACE,1,0.025,KEPT
**differential diagnoses,SURFACE,1,0.025,KEPT
**differential diagnoses insights**,SURFACE,1,0.025,KEPT
**differential diagnoses summary**,SURFACE,1,0.025,KEPT
**differential diagnoses** and **recommended tests**,SURFACE,1,0.025,KEPT
**differential diagnosis,SURFACE,1,0.025,KEPT
**differential diagnosis clarifications**,SURFACE,1,0.025,KEPT
**differential diagnosis consideration**,SURFACE,1,0.025,KEPT
**differential diagnosis considerations**,SURFACE,1,0.025,KEPT
**differential diagnosis expansion**,SURFACE,1,0.025,KEPT
**differential diagnosis:**,SURFACE,1,0.025,KEPT
**digital volume tomography,SURFACE,1,0.025,KEPT
**documentation for specialists**,SURFACE,1,0.025,KEPT
**documentation preparation**,SURFACE,1,0.025,KEPT
**documentation**,SURFACE,1,0.025,KEPT
**doppler ultrasound,SURFACE,1,0.025,KEPT
**down syndrome** and **cornelia,SURFACE,1,0.025,KEPT
"**dravet syndrome**
   - **atypical absence epilepsy**
   - **focal cortical dysplasia",SURFACE,1,0.025,KEPT
"**dravet syndrome** 
   - **atypical absence epilepsy** 
   - **focal cortical dysplasia",SURFACE,1,0.025,KEPT
**dyslipidemia-related vascular issues**,SURFACE,1,0.025,KEPT
**echocardiogram follow-up** to monitor,SURFACE,1,0.025,KEPT
**echocardiogram**,SURFACE,1,0.025,KEPT
**echocardiograms**,SURFACE,1,0.025,KEPT
**echocardiography**,SURFACE,1,0.025,KEPT
**echocardiography**: essential for,SURFACE,1,0.025,KEPT
**echocardiography:** given,SURFACE,1,0.025,KEPT
**echocardiography:** prioritizing,SURFACE,1,0.025,KEPT
**echocardiography:** since,SURFACE,1,0.025,KEPT
**educational outreach**,SURFACE,1,0.025,KEPT
**educational support**,SURFACE,1,0.025,KEPT
**electromyography,SURFACE,1,0.025,KEPT
